exp_name,task,model,setup,ckpt_avg,calib,seed,target_lang,metric,score
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,et,ece,0.3346218466758728
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,et,accuracy,0.5390781760215759
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,ht,ece,0.2954100370407104
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,ht,accuracy,0.5410821437835693
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,id,ece,0.3235936760902405
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,id,accuracy,0.5551102161407471
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,qu,ece,0.2512736916542053
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,qu,accuracy,0.5270541310310364
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,sw,ece,0.2902171313762665
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,sw,accuracy,0.531062126159668
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,tr,ece,0.3052143156528473
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,tr,accuracy,0.5490981936454773
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,vi,ece,0.3104317784309387
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,vi,accuracy,0.5470941662788391
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,zh,ece,0.2397448420524597
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,0,zh,accuracy,0.6292585134506226
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,et,ece,0.2552189230918884
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,et,accuracy,0.5370741486549377
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,ht,ece,0.2391311526298523
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,ht,accuracy,0.5290580987930298
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,id,ece,0.2650297284126282
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,id,accuracy,0.5470941662788391
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,qu,ece,0.1245285868644714
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,qu,accuracy,0.5611222386360168
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,sw,ece,0.2192350029945373
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,sw,accuracy,0.52304607629776
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,tr,ece,0.2373945564031601
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,tr,accuracy,0.531062126159668
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,vi,ece,0.2474088370800018
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,vi,accuracy,0.5511022210121155
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,zh,ece,0.2122428715229034
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,1,zh,accuracy,0.617234468460083
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,2,et,ece,0.3284541666507721
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,2,et,accuracy,0.5531061887741089
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,2,ht,ece,0.3037121593952179
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,2,ht,accuracy,0.563126266002655
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,2,id,ece,0.3248593807220459
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,2,id,accuracy,0.5591182112693787
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,2,qu,ece,0.3065169751644134
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,2,qu,accuracy,0.5170340538024902
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,2,sw,ece,0.318514883518219
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,2,sw,accuracy,0.5290580987930298
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,2,tr,ece,0.3965470790863037
xcopa_mbert_fft_oob_best,xcopa,mbert,fft,best,none,2,tr,accuracy,0.4849699437618255
