exp_name,dataset,model,setup,ckpt_avg,calib,seed,source_lang,target_lang,metric,score
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,2,,id,ece,0.123556837439537
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,2,,id,accuracy,0.5270541310310364
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,2,,qu,ece,0.0624022036790847
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,2,,qu,accuracy,0.5150300860404968
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,2,,sw,ece,0.0942416563630104
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,2,,sw,accuracy,0.5170340538024902
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,2,,tr,ece,0.0882528126239776
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,2,,tr,accuracy,0.52304607629776
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,2,,vi,ece,0.0794111192226409
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,2,,vi,accuracy,0.5831663608551025
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,2,,zh,ece,0.0563569255173206
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,2,,zh,accuracy,0.6352705359458923
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,et,ece,0.0692883133888244
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,et,accuracy,0.5731462836265564
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,ht,ece,0.1420383155345916
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,ht,accuracy,0.4809619188308716
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,id,ece,0.0999545827507972
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,id,accuracy,0.563126266002655
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,qu,ece,0.0486771687865257
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,qu,accuracy,0.5290580987930298
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,sw,ece,0.1259479820728302
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,sw,accuracy,0.4909819662570953
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,tr,ece,0.1202073842287063
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,tr,accuracy,0.4949899911880493
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,vi,ece,0.0786033421754837
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,vi,accuracy,0.5931863784790039
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,zh,ece,0.0561091750860214
xcopa_mbert_ta_oob_last,xcopa,mbert,ta,last,oob,3,,zh,accuracy,0.6292585134506226
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,ar,ece,0.0357129983603954
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,ar,accuracy,0.7663798928260803
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,es,ece,0.0388674214482307
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,es,accuracy,0.8722700476646423
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,hi,ece,0.040525808930397
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,hi,accuracy,0.8173395395278931
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,id,ece,0.0278034396469593
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,id,accuracy,0.84315025806427
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,my,ece,0.0691452175378799
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,my,accuracy,0.7564526796340942
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,ru,ece,0.0513456724584102
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,ru,accuracy,0.8405029773712158
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,sw,ece,0.0388277024030685
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,sw,accuracy,0.7187293171882629
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,zh,ece,0.0307205468416214
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,4,,zh,accuracy,0.8332230448722839
xsc_xlmr_ta_ts_none,xstorycloze,xlmr,ta,none,ts,1,,ar,ece,0.0355762206017971
