exp_name;seed;target_lang;metric;score
paws_x_mbert_ta;0;de;ece;0,07661072909832001
paws_x_mbert_ta;0;de;accuracy;0,843999981880188
paws_x_mbert_ta;0;es;ece;0,06595958769321442
paws_x_mbert_ta;0;es;accuracy;0,859000027179718
paws_x_mbert_ta;0;ja;ece;0,10160356760025024
paws_x_mbert_ta;0;ja;accuracy;0,7425000071525574
paws_x_mbert_ta;0;zh;ece;0,1012222021818161
paws_x_mbert_ta;0;zh;accuracy;0,7720000147819519
paws_x_mbert_ta;1;de;ece;0,07114223390817642
paws_x_mbert_ta;1;de;accuracy;0,8255000114440918
paws_x_mbert_ta;1;es;ece;0,042759835720062256
paws_x_mbert_ta;1;es;accuracy;0,8560000061988831
paws_x_mbert_ta;1;ja;ece;0,09688616544008255
paws_x_mbert_ta;1;ja;accuracy;0,7179999947547913
paws_x_mbert_ta;1;zh;ece;0,09192078560590744
paws_x_mbert_ta;1;zh;accuracy;0,7484999895095825
paws_x_mbert_ta;2;de;ece;0,09668148308992386
paws_x_mbert_ta;2;de;accuracy;0,8220000267028809
paws_x_mbert_ta;2;es;ece;0,07667206972837448
paws_x_mbert_ta;2;es;accuracy;0,8445000052452087
paws_x_mbert_ta;2;ja;ece;0,09119586646556854
paws_x_mbert_ta;2;ja;accuracy;0,7229999899864197
paws_x_mbert_ta;2;zh;ece;0,0942729264497757
paws_x_mbert_ta;2;zh;accuracy;0,7580000162124634
paws_x_mbert_ta;3;de;ece;0,07843855768442154
paws_x_mbert_ta;3;de;accuracy;0,824999988079071
paws_x_mbert_ta;3;es;ece;0,05790743976831436
paws_x_mbert_ta;3;es;accuracy;0,8514999747276306
paws_x_mbert_ta;3;ja;ece;0,09713612496852875
paws_x_mbert_ta;3;ja;accuracy;0,7254999876022339
paws_x_mbert_ta;3;zh;ece;0,09826358407735825
paws_x_mbert_ta;3;zh;accuracy;0,7599999904632568
paws_x_mbert_ta;4;de;ece;0,08197709918022156
paws_x_mbert_ta;4;de;accuracy;0,8314999938011169
paws_x_mbert_ta;4;es;ece;0,06569654494524002
paws_x_mbert_ta;4;es;accuracy;0,8550000190734863
paws_x_mbert_ta;4;ja;ece;0,10859081894159317
paws_x_mbert_ta;4;ja;accuracy;0,7329999804496765
paws_x_mbert_ta;4;zh;ece;0,09419581294059753
paws_x_mbert_ta;4;zh;accuracy;0,7760000228881836
